Date,Open,High,Low,Close
Wed Jan 08 2025 09:15:00 GMT+0530 (India Standard Time),1774.1,1779.5,1765.25,1766.25
Wed Jan 08 2025 09:20:00 GMT+0530 (India Standard Time),1764.95,1769.5,1757.2,1759.15
Wed Jan 08 2025 09:25:00 GMT+0530 (India Standard Time),1759.1,1759.45,1751.3,1752.2
Wed Jan 08 2025 09:30:00 GMT+0530 (India Standard Time),1752.2,1754.95,1748.8,1749.45
Wed Jan 08 2025 09:35:00 GMT+0530 (India Standard Time),1749.45,1752.95,1738.65,1740.55
Wed Jan 08 2025 09:40:00 GMT+0530 (India Standard Time),1740.55,1746.7,1738.05,1739.05
Wed Jan 08 2025 09:45:00 GMT+0530 (India Standard Time),1739.05,1739.1,1731.2,1731.6
Wed Jan 08 2025 09:50:00 GMT+0530 (India Standard Time),1732.4,1736.45,1729.25,1735.45
Wed Jan 08 2025 09:55:00 GMT+0530 (India Standard Time),1735.45,1735.45,1728.45,1731.0
Wed Jan 08 2025 10:00:00 GMT+0530 (India Standard Time),1731.75,1731.75,1726.05,1728.65
Wed Jan 08 2025 10:05:00 GMT+0530 (India Standard Time),1728.05,1730.45,1723.25,1725.15
Wed Jan 08 2025 10:10:00 GMT+0530 (India Standard Time),1725.4,1727.65,1721.45,1724.55
Wed Jan 08 2025 10:15:00 GMT+0530 (India Standard Time),1725.35,1736.35,1724.1,1730.2
Wed Jan 08 2025 10:20:00 GMT+0530 (India Standard Time),1730.1,1731.25,1716.15,1717.0
Wed Jan 08 2025 10:25:00 GMT+0530 (India Standard Time),1717.3,1719.55,1715.95,1718.8
Wed Jan 08 2025 10:30:00 GMT+0530 (India Standard Time),1718.8,1718.95,1714.7,1716.45
Wed Jan 08 2025 10:35:00 GMT+0530 (India Standard Time),1716.45,1722.9,1712.65,1721.2
Wed Jan 08 2025 10:40:00 GMT+0530 (India Standard Time),1721.2,1724.1,1720.0,1721.65
Wed Jan 08 2025 10:45:00 GMT+0530 (India Standard Time),1722.2,1725.35,1720.3,1725.35
Wed Jan 08 2025 10:50:00 GMT+0530 (India Standard Time),1725.35,1726.45,1723.0,1724.9
Wed Jan 08 2025 10:55:00 GMT+0530 (India Standard Time),1725.35,1726.05,1722.6,1724.15
Wed Jan 08 2025 11:00:00 GMT+0530 (India Standard Time),1724.15,1730.85,1723.75,1727.65
Wed Jan 08 2025 11:05:00 GMT+0530 (India Standard Time),1727.65,1731.75,1727.35,1730.2
Wed Jan 08 2025 11:10:00 GMT+0530 (India Standard Time),1730.2,1731.2,1727.0,1727.0
Wed Jan 08 2025 11:15:00 GMT+0530 (India Standard Time),1726.9,1727.3,1722.7,1724.9
Wed Jan 08 2025 11:20:00 GMT+0530 (India Standard Time),1724.9,1724.9,1720.25,1721.15
Wed Jan 08 2025 11:25:00 GMT+0530 (India Standard Time),1721.15,1728.0,1720.95,1726.3
Wed Jan 08 2025 11:30:00 GMT+0530 (India Standard Time),1726.3,1727.65,1724.1,1726.1
Wed Jan 08 2025 11:35:00 GMT+0530 (India Standard Time),1725.45,1726.3,1720.15,1721.85
Wed Jan 08 2025 11:40:00 GMT+0530 (India Standard Time),1722.0,1723.9,1720.7,1720.9
Wed Jan 08 2025 11:45:00 GMT+0530 (India Standard Time),1720.9,1720.9,1714.75,1716.8
Wed Jan 08 2025 11:50:00 GMT+0530 (India Standard Time),1716.8,1717.05,1710.45,1712.8
Wed Jan 08 2025 11:55:00 GMT+0530 (India Standard Time),1712.8,1713.9,1711.55,1712.8
Wed Jan 08 2025 12:00:00 GMT+0530 (India Standard Time),1712.8,1713.8,1710.1,1713.8
Wed Jan 08 2025 12:05:00 GMT+0530 (India Standard Time),1714.15,1714.65,1711.15,1714.3
Wed Jan 08 2025 12:10:00 GMT+0530 (India Standard Time),1714.3,1714.3,1710.4,1710.4
Wed Jan 08 2025 12:15:00 GMT+0530 (India Standard Time),1710.4,1712.5,1710.3,1712.5
Wed Jan 08 2025 12:20:00 GMT+0530 (India Standard Time),1712.5,1714.1,1712.2,1713.0
Wed Jan 08 2025 12:25:00 GMT+0530 (India Standard Time),1713.0,1713.0,1710.0,1710.45
Wed Jan 08 2025 12:30:00 GMT+0530 (India Standard Time),1710.45,1711.15,1708.5,1709.0
Wed Jan 08 2025 12:35:00 GMT+0530 (India Standard Time),1709.45,1710.95,1707.35,1708.7
Wed Jan 08 2025 12:40:00 GMT+0530 (India Standard Time),1709.05,1710.95,1708.25,1710.45
Wed Jan 08 2025 12:45:00 GMT+0530 (India Standard Time),1710.45,1711.35,1707.3,1707.4
Wed Jan 08 2025 12:50:00 GMT+0530 (India Standard Time),1708.15,1710.05,1707.4,1709.65
Wed Jan 08 2025 12:55:00 GMT+0530 (India Standard Time),1709.65,1710.6,1708.05,1709.9
Wed Jan 08 2025 13:00:00 GMT+0530 (India Standard Time),1709.9,1714.65,1707.7,1714.6
Wed Jan 08 2025 13:05:00 GMT+0530 (India Standard Time),1714.6,1714.7,1712.5,1713.15
Wed Jan 08 2025 13:10:00 GMT+0530 (India Standard Time),1712.65,1713.9,1712.0,1713.45
Wed Jan 08 2025 13:15:00 GMT+0530 (India Standard Time),1713.45,1716.6,1711.8,1715.3
Wed Jan 08 2025 13:20:00 GMT+0530 (India Standard Time),1715.95,1721.25,1715.3,1721.25
Wed Jan 08 2025 13:25:00 GMT+0530 (India Standard Time),1721.25,1724.7,1721.25,1723.15
Wed Jan 08 2025 13:30:00 GMT+0530 (India Standard Time),1723.15,1725.7,1722.4,1724.95
Wed Jan 08 2025 13:35:00 GMT+0530 (India Standard Time),1724.7,1725.7,1722.15,1722.95
Wed Jan 08 2025 13:40:00 GMT+0530 (India Standard Time),1722.95,1730.0,1722.7,1730.0
Wed Jan 08 2025 13:45:00 GMT+0530 (India Standard Time),1730.0,1732.0,1729.05,1730.7
